gender,department_name,assignment_category,employee_position_title,underfilled_job_title,year_first_hired,salary
F,Department of General Services,Fulltime-Regular,Senior Engineer,,2005,112899.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2012,57265.0
M,Department of Transportation,Fulltime-Regular,Equipment Operator II,,2008,46995.44
M,Department of Police,Fulltime-Regular,Security Officer III (Sergeant),,1995,84710.61
F,Department of Environmental Protection,Fulltime-Regular,Environmental Health Specialist III,,2006,69895.63
M,Department of Transportation,Fulltime-Regular,Safety and Training Instructor,,1993,77343.0
M,Department of Environmental Protection,Fulltime-Regular,Program Manager I,,2007,93396.0
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2010,60501.0
M,Department of General Services,Fulltime-Regular,Mechanic Technician II,,2000,73801.0
F,County Attorney's Office,Fulltime-Regular,Office Services Coordinator,,1998,61685.72
F,Department of General Services,Fulltime-Regular,Building Services Worker II,,1998,46469.0
M,Department of Transportation,Fulltime-Regular,Work Force Leader II,,1994,73801.0
F,Department of Transportation,Fulltime-Regular,Bus Operator,,2008,45049.12
M,Department of Police,Fulltime-Regular,Police Officer III,,2010,65752.0
F,County Attorney's Office,Fulltime-Regular,Assistant County Attorney III,,1999,115288.33
F,Department of Health and Human Services,Fulltime-Regular,Therapist II,Therapist I,2015,58360.18
M,Department of Police,Fulltime-Regular,Police Officer III,,1995,92756.7
M,Department of General Services,Fulltime-Regular,Mechanic Technician II,,2003,73801.0
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer I,2015,51969.0
F,Department of Health and Human Services,Parttime-Regular,Community Services Aide III,,1992,38007.52
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,2012,30473.48
F,Department of Transportation,Fulltime-Regular,Bus Operator,,2013,43525.72
M,Department of Transportation,Fulltime-Regular,Senior Engineer Technician,,2008,82094.17
F,Department of Police,Parttime-Regular,Crossing Guard,,2003,22529.52
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,1990,79647.84
M,Department of Health and Human Services,Fulltime-Regular,Manager II,,1988,149743.2
M,Department of Police,Fulltime-Regular,Police Officer III,,1994,92756.7
F,Department of Health and Human Services,Fulltime-Regular,Supervisory Therapist,,1991,104717.28
M,Department of Liquor Control,Parttime-Regular,Liquor Store Clerk I,,2012,29779.06
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2005,70396.0
M,Department of Transportation,Fulltime-Regular,Equipment Operator I,,2011,43244.28
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer I (Recruit),2016,45261.0
F,Department of Public Libraries,Parttime-Regular,Library Desk Assistant,,1994,28738.03
M,Department of Police,Fulltime-Regular,Police Officer III,,2010,65752.0
F,Fire and Rescue Services,Fulltime-Regular,Management and Budget Specialist III,,1988,104717.28
F,Department of Health and Human Services,Fulltime-Regular,Program Specialist II,,2004,70165.08
F,Department of Police,Parttime-Regular,Police Officer III,,1994,44810.0
M,Department of Police,Fulltime-Regular,Police Sergeant,,1997,103506.0
F,Department of Public Libraries,Fulltime-Regular,Librarian II,,2009,75928.99
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer I (Recruit),2016,45261.0
M,Department of Health and Human Services,Parttime-Regular,Office Services Coordinator,,1997,48640.89
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Specialist III,,1997,91493.99
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2016,39257.31
F,Department of Health and Human Services,Fulltime-Regular,Income Assistance Program Specialist III,,1990,91751.37
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2006,68015.0
M,Department of Police,Fulltime-Regular,Police Sergeant,,2006,84201.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,50910.0
M,Department of Recreation,Fulltime-Regular,Recreation Specialist,,2000,84974.0
F,Department of Public Libraries,Fulltime-Regular,Manager III,,1986,118728.11
M,Department of Police,Fulltime-Regular,Forensic Firearms/Toolmark Examiner,,2012,95933.26
F,Department of Health and Human Services,Fulltime-Regular,Office Services Coordinator,,2001,67206.0
F,Department of Health and Human Services,Parttime-Regular,Administrative Specialist I,,1990,57011.27
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,2003,97912.0
F,Department of Police,Fulltime-Regular,Public Safety Emergency Communications Supervisor,,1988,93396.0
M,Department of Transportation,Fulltime-Regular,Equipment Operator I,,2015,38020.38
F,Department of General Services,Fulltime-Regular,Senior Information Technology Specialist,,2013,91695.6
F,Department of Health and Human Services,Fulltime-Regular,Client Assistance Specialist,,2009,64216.01
F,Department of Transportation,Fulltime-Regular,Management and Budget Specialist III,,2000,90006.97
F,Department of Recreation,Fulltime-Regular,Office Services Coordinator,,2003,59325.62
F,Correction and Rehabilitation,Fulltime-Regular,Resident Supervisor II,,2011,54308.75
F,Department of Police,Fulltime-Regular,Police Officer III,,2004,89620.0
F,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,2011,49622.25
M,Department of Permitting Services,Fulltime-Regular,Permitting and Code Enforcement Inspector III,,2004,93287.69
F,Department of Public Libraries,Parttime-Regular,Library Aide,,2011,17269.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2006,72902.0
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Division Chief,,1990,158919.8
M,Department of Health and Human Services,Fulltime-Regular,Therapist II,,1988,100849.36
F,Department of Public Libraries,Fulltime-Regular,Library Assistant I,,1999,57160.72
F,Department of Health and Human Services,Fulltime-Regular,Social Worker II,,1986,96197.88
F,Department of Health and Human Services,Fulltime-Regular,Social Worker III,,2007,78183.58
F,Community Use of Public Facilities,Fulltime-Regular,Office Services Coordinator,,2014,56552.8
F,Department of Housing and Community Affairs,Fulltime-Regular,Housing Code Inspector III,Housing Code Inspector II,2006,74701.81
M,Department of Liquor Control,Fulltime-Regular,Liquor Store Manager,,1989,89222.7
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2012,45048.5
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2013,52693.0
F,Department of Health and Human Services,Fulltime-Regular,Principal Administrative Aide,,2012,40452.28
M,Sheriff's Office,Fulltime-Regular,Deputy Sheriff III,,2003,77029.0
M,Department of Transportation,Fulltime-Regular,Equipment Operator I,,2010,43244.28
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer I (Recruit),2016,45261.0
F,Department of Public Libraries,Parttime-Regular,Librarian I,,1990,65642.42
F,Department of Transportation,Fulltime-Regular,Program Manager I,,2000,91738.02
F,Department of Transportation,Fulltime-Regular,Bus Operator,,2003,46626.87
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,2001,97912.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,50910.0
M,Sheriff's Office,Fulltime-Regular,Deputy Sheriff III,,2008,64854.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2013,57365.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,50910.0
M,Department of General Services,Fulltime-Regular,Mechanic Technician II,,2012,64833.32
M,Department of Police,Fulltime-Regular,Police Officer III,,2002,86588.0
F,Sheriff's Office,Fulltime-Regular,Deputy Sheriff Sergeant,,2001,93945.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2012,63345.0
M,Department of General Services,Fulltime-Regular,Mechanic Technician II,,2008,61035.5
M,Fire and Rescue Services,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,,2013,60190.02
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1985,118080.06
M,Department of Transportation,Fulltime-Regular,Bus Operator,,1988,66065.23
M,Department of Police,Fulltime-Regular,Police Officer III,,2001,89620.0
M,Department of Transportation,Fulltime-Regular,Engineer Technician II,,2016,52000.0
M,Department of Police,Parttime-Regular,Crossing Guard,,2013,17793.77
M,Department of Police,Fulltime-Regular,Master Police Officer,,1995,97392.47
F,Department of Public Libraries,Fulltime-Regular,Librarian II,,2013,62678.98
M,Department of Permitting Services,Fulltime-Regular,Senior Permitting Services Specialist,Permitting Services Specialist II,2005,97912.0
M,Department of Liquor Control,Fulltime-Regular,Liquor Store Clerk II,,2008,45397.14
M,Department of Permitting Services,Fulltime-Regular,Permit Technician III,Permit Technician II,1990,72534.66
M,Department of Environmental Protection,Fulltime-Regular,Environmental Health Specialist III,,2004,73473.59
F,Department of Health and Human Services,Parttime-Regular,Fiscal Assistant,,2008,50132.65
F,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2013,58455.0
M,Department of General Services,Fulltime-Regular,Senior Information Technology Specialist,,2003,118400.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),Correctional Officer II (PFC),2014,49831.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2010,61339.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Shift Commander (Lieutenant),,1996,103708.64
F,Department of Police,Parttime-Regular,Crossing Guard,,2003,21766.2
M,Department of Transportation,Fulltime-Regular,Engineer III,,2002,102664.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Health Nurse II,,2016,66106.89
M,Fire and Rescue Services,Fulltime-Regular,Master Firefighter/Rescuer,,1993,91969.07
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,1999,42710.98
M,County Council,Parttime-Regular,Manager II,,2007,78262.5
F,Department of Police,Fulltime-Regular,Code Enforcement Inspector III,,2013,54797.84
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1982,120117.06
F,Department of Health and Human Services,Parttime-Regular,Social Worker II,,2000,44094.59
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,2002,108538.0
F,Non-Departmental Account,Fulltime-Regular,Manager I,,1999,175110.54
F,Department of Police,Fulltime-Regular,Forensics Specialist I,,2012,72733.72
M,Office of Public Information,Fulltime-Regular,Customer Service Representative II,,2014,43849.84
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2013,52693.0
M,Department of Transportation,Fulltime-Regular,Transit Operations Supervisor,,1998,77343.0
F,Department of Health and Human Services,Fulltime-Regular,Therapist II,,1992,100849.36
M,Correction and Rehabilitation,Fulltime-Regular,Principal Administrative Aide,,1998,58448.0
F,Department of Health and Human Services,Fulltime-Regular,Income Assistance Program Specialist II,,2014,50785.5
F,Department of Transportation,Fulltime-Regular,Transit Coordinator,,1989,72534.66
F,Department of Police,Fulltime-Regular,Public Safety Communications Specialist III,,2005,65679.8
F,Department of Recreation,Fulltime-Regular,Management and Budget Specialist III,,2013,84813.6
F,Sheriff's Office,Fulltime-Regular,Principal Administrative Aide,,2013,41873.93
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2008,65530.0
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,1991,57807.08
F,Department of Health and Human Services,Fulltime-Regular,Manager III,,2006,135025.83
M,Department of Transportation,Fulltime-Regular,Engineer III,,2004,98024.98
F,Department of Health and Human Services,Fulltime-Regular,Manager III,,2002,123422.86
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,2001,77328.0
M,Correction and Rehabilitation,Fulltime-Regular,Resident Supervisor III,,2000,89079.0
F,Department of Environmental Protection,Fulltime-Regular,Program Manager I,,2016,70350.0
M,Department of Police,Fulltime-Regular,Police Sergeant,,2006,93356.0
M,Department of Permitting Services,Fulltime-Regular,Permitting and Code Enforcement Inspector III,Permitting and Code Enforcement Inspector I,2015,55129.28
F,Office of Procurement,Fulltime-Regular,Manager II,,1995,139531.73
M,Department of Permitting Services,Fulltime-Regular,Permitting and Code Enforcement Inspector III,,2013,79323.24
F,County Attorney's Office,Fulltime-Regular,Legal Secretary II,,2007,56012.49
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2005,52472.36
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2004,55123.38
M,Department of Police,Fulltime-Regular,Police Officer III,,1997,89620.0
F,Department of Finance,Fulltime-Regular,Manager II,,2014,147016.49
F,Department of Recreation,Fulltime-Regular,Recreation Specialist,,2014,61020.09
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,2005,67384.0
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1991,117174.02
F,Department of Transportation,Fulltime-Regular,Bus Operator,,2015,40631.32
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer I,2014,53788.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2008,69573.0
F,Department of Police,Fulltime-Regular,Office Services Coordinator,,1980,69222.18
F,Department of Police,Fulltime-Regular,Police Officer III,Police Officer I,2015,51969.0
F,Department of Health and Human Services,Parttime-Regular,Program Manager I,,1993,47631.96
F,Office of Human Resources,Fulltime-Regular,Program Manager II,,2012,86528.04
M,Fire and Rescue Services,Fulltime-Regular,Supply Technician II,,2012,51954.44
F,Department of General Services,Fulltime-Regular,Senior Architect,,2000,118400.0
F,Correction and Rehabilitation,Fulltime-Regular,Administrative Specialist III,,1985,92846.37
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2013,52693.0
F,Department of Health and Human Services,Fulltime-Regular,Income Assistance Program Specialist II,,1990,83497.98
F,County Attorney's Office,Fulltime-Regular,Paralegal Specialist,,2015,65780.67
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2005,70396.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer I (Recruit),2016,45261.0
M,Department of General Services,Fulltime-Regular,Senior Architect,,2006,118400.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),Correctional Officer II (PFC),2015,48145.0
M,Department of Police,Fulltime-Regular,Police Officer III,,1998,89620.0
M,Department of Police,Fulltime-Regular,Police Officer III,,1996,92756.7
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1997,123004.0
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,1994,57807.08
F,Department of Permitting Services,Fulltime-Regular,Senior Permitting Services Specialist,Permitting Services Specialist II,2003,97912.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2001,58657.24
M,Department of Transportation,Fulltime-Regular,Equipment Operator III,,1985,69222.18
F,Department of Police,Fulltime-Regular,Forensic Firearms/Toolmark Examiner,,2012,95933.26
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2013,61408.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2008,47189.32
F,Department of Recreation,Fulltime-Regular,Recreation Specialist,,2014,61020.09
M,Department of Police,Fulltime-Regular,Police Officer III,,2006,72902.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2014,42053.83
F,Department of Health and Human Services,Fulltime-Regular,Program Manager I,,2015,83214.0
M,Department of Technology Services,Fulltime-Regular,Information Technology Specialist III,,2016,95362.44
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2014,42053.42
F,Department of Technology Services,Fulltime-Regular,Senior Information Technology Specialist,,2016,110500.0
F,Department of Police,Fulltime-Regular,Police Aide,,1985,66065.23
F,Office of Public Information,Fulltime-Regular,Customer Service Representative I,,2015,37903.5
M,Department of Transportation,Fulltime-Regular,Highway Inspector II,,1996,78402.89
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2011,50910.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2007,69790.0
M,Fire and Rescue Services,Fulltime-Regular,Master Firefighter/Rescuer,,2004,80145.0
F,Department of Public Libraries,Parttime-Regular,Library Assistant I,,1993,30100.72
M,Fire and Rescue Services,Fulltime-Regular,Master Firefighter/Rescuer,,2004,80145.0
F,Office of Human Resources,Fulltime-Regular,Administrative Specialist III,,2016,72000.0
F,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,2016,48150.0
F,Department of Health and Human Services,Fulltime-Regular,Program Specialist I,,2004,53904.46
F,Department of Transportation,Fulltime-Regular,Principal Administrative Aide,,2008,43334.91
M,Department of Transportation,Fulltime-Regular,Manager III,,2004,89074.11
F,Fire and Rescue Services,Fulltime-Regular,Information Technology Specialist III,,2002,107657.0
M,Department of Liquor Control,Fulltime-Regular,Driver/Clerk,,1995,57476.06
M,Office of Management and Budget,Fulltime-Regular,Senior Management and Budget Specialist,,2012,103114.91
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1986,126781.06
F,Department of Police,Fulltime-Regular,Principal Administrative Aide,,2001,55139.73
M,Department of Police,Fulltime-Regular,Police Officer III,,2005,86588.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2016,39257.31
M,Department of Transportation,Fulltime-Regular,Transit Coordinator,,2004,58856.63
M,Department of Police,Fulltime-Regular,Police Officer III,,2006,72902.0
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2014,56478.0
M,Department of Police,Fulltime-Regular,Police Officer III,,1995,92756.7
M,Department of Police,Fulltime-Regular,Animal Care Attendant,,2013,41781.91
F,Office of Human Resources,Parttime-Regular,Human Resources Specialist III,,2004,43759.74
F,Department of Technology Services,Fulltime-Regular,Program Manager II,,1989,105743.92
F,Department of General Services,Fulltime-Regular,Program Manager I,,2007,92062.06
M,Department of Environmental Protection,Fulltime-Regular,Program Specialist II,,1989,87523.22
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),Correctional Officer II (PFC),2013,51576.0
M,Department of Housing and Community Affairs,Fulltime-Regular,Senior Planning Specialist,,1986,105743.92
M,Department of Environmental Protection,Fulltime-Regular,Code Enforcement Inspector III,,1993,83497.98
F,County Council,Parttime-Regular,Principal Administrative Aide,,1995,33534.54
M,Department of Health and Human Services,Fulltime-Regular,Program Manager I,,2015,89122.19
M,Department of Liquor Control,Parttime-Regular,Liquor Store Clerk I,,2005,35368.71
M,Department of Transportation,Fulltime-Regular,Equipment Operator I,,2002,61231.0
M,Department of Liquor Control,Fulltime-Regular,Supply Technician III,Supply Technician II,2011,36707.05
M,Department of Police,Fulltime-Regular,Public Safety Communications Specialist III,Public Safety Communications Specialist I,2015,42662.89
M,Department of Liquor Control,Fulltime-Regular,Warehouse Equipment Operator,,2002,50065.12
F,Department of Finance,Fulltime-Regular,Program Manager II,,1994,102664.0
F,Department of Public Libraries,Fulltime-Regular,Librarian II,,2014,69181.11
F,Department of Police,Fulltime-Regular,Office Services Coordinator,,1995,69222.18
F,Department of Police,Fulltime-Regular,Public Safety Communications Specialist III,Public Safety Communications Specialist I,2015,42662.88
M,Department of Health and Human Services,Fulltime-Regular,Manager III,,1994,100236.24
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,2004,69744.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,2013,56733.0
F,Department of Public Libraries,Fulltime-Regular,Library Associate II,,1985,87523.22
M,Department of General Services,Fulltime-Regular,Welder,,2003,73801.0
F,Department of Public Libraries,Fulltime-Regular,Library Associate,,2013,46319.13
F,Correction and Rehabilitation,Fulltime-Regular,Correctional Shift Commander (Lieutenant),,1995,103708.64
F,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2001,80784.0
M,Department of General Services,Fulltime-Regular,Government Records/Warehouse Clerk,,2013,44830.05
F,Department of Public Libraries,Fulltime-Regular,Library Assistant Supervisor,,1994,75004.76
F,Correction and Rehabilitation,Fulltime-Regular,Office Services Coordinator,,1990,69222.18
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Supervisor (Sergeant),,1990,94277.96
F,Department of Health and Human Services,Fulltime-Regular,Income Assistance Program Specialist II,Income Assistance Program Specialist I,2016,42792.0
F,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2002,85443.0
M,Department of Police,Fulltime-Regular,Police Sergeant,,1990,107128.71
M,Department of Health and Human Services,Fulltime-Regular,Income Assistance Program Specialist II,Income Assistance Program Specialist I,2015,44289.62
F,Department of Environmental Protection,Fulltime-Regular,Program Specialist I,,1978,76015.03
F,Department of Permitting Services,Fulltime-Regular,Manager III,,2014,117183.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2007,65716.0
F,Department of Health and Human Services,Fulltime-Regular,Social Worker II,Social Worker I,2016,51394.0
F,Department of Liquor Control,Fulltime-Regular,Liquor Store Manager,,1999,78677.31
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer I (Recruit),2016,45261.0
M,Department of Liquor Control,Fulltime-Regular,Truck Driver/Warehouse Worker,,2007,43814.23
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,2013,36797.06
M,Department of Public Libraries,Fulltime-Regular,Library Assistant I,,1993,60201.44
F,Department of Liquor Control,Parttime-Regular,Liquor Store Clerk I,,2016,27805.44
M,Department of Transportation,Fulltime-Regular,Safety and Training Instructor,,2013,48503.36
F,Department of Environmental Protection,Fulltime-Regular,Planning Specialist III,,2013,81820.9
M,Department of Technology Services,Fulltime-Regular,Information Technology Specialist III,,1999,107657.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2003,80829.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Supervisor (Sergeant),,2004,77065.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2013,43525.72
M,Office of Procurement,Fulltime-Regular,Procurement Specialist IV,Procurement Specialist III,2001,101181.05
F,Department of Housing and Community Affairs,Parttime-Regular,Investigator III,,1984,52871.96
M,Department of Liquor Control,Fulltime-Regular,Truck Driver/Warehouse Worker,,2013,43525.72
F,Department of Transportation,Fulltime-Regular,Equipment Operator I,,2005,49949.14
M,Community Engagement Cluster,Fulltime-Regular,Urban District Public Service Team Supervisor,,2010,45384.51
F,Department of Health and Human Services,Fulltime-Regular,Therapist II,,2014,63278.75
F,Department of General Services,Fulltime-Regular,Program Specialist I,,2005,68866.34
M,County Council,Fulltime-Regular,Manager II,,2002,130195.12
F,Department of Police,Fulltime-Regular,Administrative Specialist II,,1989,86673.48
M,Department of Liquor Control,Fulltime-Regular,Manager III,,1978,123595.19
F,Department of Health and Human Services,Fulltime-Regular,Income Assistance Program Specialist III,,1992,91751.37
M,Department of General Services,Fulltime-Regular,Capital Projects Manager,,2004,117935.19
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2014,56478.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2002,83658.0
M,Department of Police,Fulltime-Regular,Police Officer III,,1994,92756.7
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,1999,51576.21
F,Department of Transportation,Fulltime-Regular,Bus Operator,,2016,39257.31
M,Department of Environmental Protection,Fulltime-Regular,Planning Specialist III,,1996,96197.88
M,Department of Transportation,Fulltime-Regular,Construction Representative III,,2014,87302.71
M,Department of Police,Fulltime-Regular,Police Sergeant,,2004,103506.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2013,43525.72
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,2008,58720.0
F,Department of Police,Fulltime-Regular,Police Services Assistant,,2007,50317.92
F,Community Use of Public Facilities,Fulltime-Regular,Office Services Coordinator,,2000,65128.02
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer I (Recruit),2016,45261.0
M,Department of Police,Fulltime-Regular,Police Sergeant,,1994,103506.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,50910.0
M,Department of Police,Fulltime-Regular,Police Lieutenant,,1994,123902.96
F,Department of Housing and Community Affairs,Fulltime-Regular,Senior Planning Specialist,,2006,102664.0
F,Department of Health and Human Services,Fulltime-Regular,Income Assistance Program Specialist II,,1990,83497.98
M,Department of Recreation,Fulltime-Regular,Recreation Supervisor,,1994,93396.0
F,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,2010,49618.44
F,County Council,Fulltime-Regular,Confidential Aide,,2009,132387.9
F,Department of Police,Fulltime-Regular,Security Officer I,,2000,58941.9
F,Correction and Rehabilitation,Fulltime-Regular,Correctional Specialist III,,2016,59072.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2004,72861.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2006,66813.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2008,42053.33
F,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,2012,50963.8
M,Department of Permitting Services,Fulltime-Regular,Permitting and Code Enforcement Inspector III,,2013,84989.18
M,Department of Police,Fulltime-Regular,Police Sergeant,,1999,103506.0
M,Department of General Services,Fulltime-Regular,Information Technology Specialist III,,1999,83449.3
M,Department of Technology Services,Fulltime-Regular,Senior Information Technology Specialist,,2015,116707.64
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2002,52514.15
F,Department of Permitting Services,Fulltime-Regular,Office Services Coordinator,,1994,69222.18
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,2006,92256.44
M,Department of Police,Fulltime-Regular,Police Officer III,,2004,78096.0
M,Department of Finance,Fulltime-Regular,Investment Portfolio Manager,,2014,102042.13
